ID,Name in English,Name in French,Name in Spanish,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Sources,Latitude,Longitude,Description of the location
7,Western Armenian (Middle East),arménien occidental (Moyen-Orient),armenio occidental (Oriente Medio),"Iraq, Lebanon, Syrian Arab Republic","IRQ, LBN, SYR",hye,Definitely endangered,Arevmdahayeren,արևմտահայ,200000,"Haig Der-Houssikian (2008, p.c.)
Hagop Gulludjian (2008 p.c.)",33.884,35.5133,"Primarily in the areas of Beirut, Lebanon and Aleppo, Syria; also in Cairo, Egypt and in Iraq and Turkey.  A large number of speakers are in diaspora, especially in the USA, but also in Canada, Europe, and South America."
2225,Western Cham,cham de l'ouest,chamo occidental,Cambodia,KHM,cja,Vulnerable,,,200000,,12.0333,105.4333,
1898,Ngäbere (Panama),ngäbere (Panama),guaymí (Panamá),Panama,PAN,gym,Vulnerable,"Ngäbere, Guaymí",,169130,"Census 2000, article by Constenla",9.3395,-82.2428,"Bocas del Toro, Veraguas, Chiriquí provinces in western Panama"
340,Corsican,corse,corso,"France, Italy","FRA, ITA",cos,Definitely endangered,,,160000,"Jean Sibille: Les langues régionales. Dominos 220; [Paris]: Flammarion, 2000.",42.0819,9.0307,Corsica (Corse); also spoken on Maddalena Island off the northeast coast of Sardinia and in many émigré communities
2350,Chamorro,chamorro,chamorro,Guam (U.S.A.),GUM,cha,Vulnerable,,,62500,Grimes 2000,13.4323,144.7338,Guam and Northern Marianas
1027,Faroese,féroïen,faroés,Faroe Islands,FRO,fao,Vulnerable,,,60000,,62.0112,-6.7785,the Faroe Islands
411,Scottish Gaelic,gaélique écossais,gaélico escocés,United Kingdom of Great Britain and Northern Ireland,GBR,gla,Definitely endangered,,,58552,"William Gillies: Scottish Gaelic. — The Celtic languages. Edited by Martin J. Ball with James Fife. London and New York: Routledge, 1993. 145–227.",58.1011,-6.7675,"the Western Isles and parts of the Highlands, Scotland; émigré communities in Nova Scotia, Canada"
2229,Eastern Cham,cham de l'est,chamo oriental,Viet Nam,VNM,cjm,Definitely endangered,,,50000,,10.7833,108.0833,
1949,Soqotri,soqotri,soqotrí,Yemen,YEM,sqt,Severely endangered,"sk'ot'ri, sk'ot'riyyet, suqutri",,50000,"Personal investigations during numerous fieldworks on the island of Soqotra between 1985 and 2004. Data crossed with those in Naumkin (1993) ""Island of the Phoenix. An ethnographic Study of the People of Socotra"" (for Abd-al-Kuri and Samha).
 Simeone-Senelle - (1997) Proceeedings of the 16th ICL. Pergamon, Oxford, Paper No.0449. 
Simeone-Senelle  (2004) Soqotri dialectology, and the evaluation of the language endangerment . on line  <http://halshs.archives-ouvertes.fr/halshs-00338711/fr/.>
",12.5331,53.767,"Spoken only in Yemen, on the islands of Soqotra, Abd-al-Kuri and  Samha (Gulf of Aden). Belonging to the Modern South Arabian group but very distinct from the Mehri sub-group or from Jibbali.   
Some fishermen,  Soqotri native speakers, from Abd-al-Kuri are settled for many months in the year on the mainland coast of Hadramawt, others in the Mahra. A  Soqotry community (speaking Soqotri) is living in the emirate of 'Ajman. Capital of Soqotra is Hadibo (Tamarida on old maps). 
Four groups of dialects are distinguished among the surveyed dialects (from 1985 until 2004) : northern coastal villages :such as  Qadhub, Hadibo, Hawlef), the southern coast (Noged area), , the beduin varieties spoken in the Hagher Mountains,  far west dialects in the area of Qalansiya. The dialect of 'Abd-al-Kuri is apart whereas that of Samha is close to the western dialects of Soqotra (Naumkin 1988, 343-344). Soqotri have a rich oral literature (essentially poetry)."
687,West Greenlandic,kalaallisut,groenlandés occidental,Greenland (Kingdom of Denmark),GRL,kal,Vulnerable,Kalaallisut,,50000,,64.1681,-51.7236,the west coast of Greenland
704,Rarotongan,rarotongien,rarotongano,Cook Islands,COK,rar,Vulnerable,,,43000,Grimes 2000,-21.2343,-159.7837,"16800 in Cook Islands, remainder mainly in New Zealand"
149,Patani Malay,malais de patani,patani,Thailand,THA,,Vulnerable,"Jawi, Yawi",,40000,,6.6482,100.0387,
2030,Amis,amis,ami,China,CHN,ami,Vulnerable,Ami,,30000,,23.4456,121.4483,Taiwan Province
2525,Biak,biak,biaco,Indonesia,IDN,bhw,Vulnerable,,,30000,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-0.3076,131.2207,Irian Jaya
