index_left,index_right,paragraph
52,836,1
839,1425,2
1428,1665,3
1668,2238,4
2241,2946,5
2949,3242,6
3245,4040,7
4043,4627,8
4630,4977,9
4981,5394,10
5398,6757,11
6761,7279,12
7283,7829,13
7833,8014,14
8018,8880,15
8884,9436,16
9440,9769,17
9773,11350,18
11354,12089,19
12093,12431,20
12435,13697,21
13701,13856,22
13860,14070,23
14074,14566,24
14570,15206,25
15210,16854,26
16858,17293,27
17297,18559,28
18563,20518,29
20522,21314,30
21318,21688,31
21692,22170,32
22174,22784,33
22788,23505,34
23509,23775,35
23779,24264,36
24268,25139,38
25143,26662,39
26666,28314,40
28318,29468,41
29472,30432,42
30436,30906,43
30910,31540,44
31544,32356,45
32360,33074,46
33078,33357,47
33361,34373,48
34377,34721,49
34725,35153,50
35157,35930,51
35934,36625,52
36629,36846,53
36850,37249,54
37253,37695,55
37699,38306,56
38310,39088,57
39092,39999,58
40003,40463,59
40467,40652,60
40656,41423,61
41427,41757,62
41761,42369,63
42373,43504,64
43508,44748,65
44752,45200,66
45204,46483,67
46487,47468,68
47472,48001,69
48005,48679,70
48683,49566,71
49570,50063,72
50067,51143,73
51147,51555,74
51559,53497,75
53501,53976,76
53980,54238,77
54242,54786,78
54790,55071,79
55075,55460,80
55464,55665,81
55669,56475,82
56479,57890,83
57894,60096,84
60100,61010,85
61014,61398,86
61402,63100,87
63104,64303,88
64307,64737,89
64741,65325,90
65329,65509,91
65513,65803,92
65807,66116,93
66120,66990,94
66994,67921,95
67925,69469,96
69473,71473,97
71477,72128,98
72132,72400,99
72405,73310,100
73315,73545,101
73550,73879,102
73884,74338,103
74343,74543,104
74548,74987,105
74992,75184,106
75189,75246,107
75251,76159,108
76164,77974,109
77979,78630,110
78635,80095,111
80100,80638,112
80643,80998,113
81003,82328,114
82333,83175,115
83180,83520,116
83525,84816,117
84821,85471,118
85476,87461,119
87466,89101,120
89106,89798,121
89803,90751,122
90756,91101,123
91106,92771,124
92776,93606,125
93611,93707,126
93712,96040,127
96045,97369,128
97374,98233,129
98238,99025,130
99030,100204,131
100209,101111,132
101116,102370,133
102375,103183,134
103188,104042,135
104047,104470,136
104475,105762,137
105767,106210,138
106215,107208,139
107213,107559,140
107564,108988,141
108993,109582,142
109587,110651,143
110656,110898,144
110903,111902,145
111907,112082,146
112087,113290,147
113295,115484,148
115489,116196,149
116201,117067,150
117072,117959,151
117964,119178,152
119183,120055,153
120060,121075,154
121080,121467,155
121472,123534,156
123539,124463,157
124468,125071,158
125076,125436,159
125441,125866,160
125871,127074,161
127079,127509,162
127514,129123,163
129128,130095,164
130100,130746,165
130751,131499,166
131504,132996,167
133001,133362,168
133367,134638,169
134643,136691,170
136696,136940,171
136945,137417,172
137422,138818,173
138823,140459,174
140464,142354,175
142359,143310,176
143315,144801,177
144806,145293,178
145298,145389,179
145394,145771,180
145776,146748,181
146753,147316,182
147321,147990,183
147995,150076,184
150081,150245,185
150250,150573,186
150578,151493,187
151498,152462,188
152467,153209,189
153214,154260,190
154265,155466,191
155471,155886,192
155891,156156,193
156161,157509,194
157514,159126,195
159131,159662,196
159667,160877,197
160882,161409,198
161414,161633,199
161638,162351,200
162356,163190,201
163195,163479,202
163484,163895,203
163900,164763,204
164768,165645,205
165650,166146,206
166151,166410,207
166415,167502,208
167507,168482,209
168487,169471,210
169476,170080,211
170085,170389,212
170394,170802,213
170807,171855,214
171860,172136,215
172141,173498,216
173503,174074,217
174079,175144,218
175149,177419,219
177424,177905,220
177910,178246,221
178251,179208,222
179213,179907,223
179912,180711,224
180716,181703,225
181708,181877,226
181882,182794,227
182799,183091,228
183096,184205,229
184210,185702,230
185707,186292,231
186297,187518,232
