number,section,index_left,index_right
0,INTRODUCTION,47,2912
1,THE PSYCHOLOGY OF MODERN LEFTISM,2944,4952
2,FEELINGS OF INFERIORITY,4975,14051
3,OVERSOCIALIZATION,14068,22151
4,THE POWER PROCESS,22168,24242
5,SURROGATE ACTIVITIES,24262,29458
6,AUTONOMY,29466,31512
7,SOURCES OF SOCIAL PROBLEMS,31538,39948
8,DISRUPTION OF THE POWER PROCESS IN MODERN SOCIETY,39997,53952
9,HOW SOME PEOPLE ADJUST,53974,61371
10,THE MOTIVES OF SCIENTISTS,61396,65780
11,THE NATURE OF FREEDOM,65801,72100
12,SOME PRINCIPLES OF HISTORY,72126,78578
13,INDUSTRIAL-TECHNOLOGICAL SOCIETY CANNOT BE REFORMED,78629,80937
14,RESTRICTION OF FREEDOM IS UNAVOIDABLE IN INDUSTRIAL SOCIETY,80996,89028
15,THE ‘BAD’ PARTS OF TECHNOLOGY CANNOT BE SEPARATED FROM THE ‘GOOD’ PARTS,89099,92695
16,TECHNOLOGY IS A MORE POWERFUL SOCIAL FORCE THAN THE ASPIRATION FOR FREEDOM,92769,103993
17,SIMPLER SOCIAL PROBLEMS HAVE PROVED INTRACTABLE,104040,107174
18,REVOLUTION IS EASIER THAN REFORM,107206,109555
19,CONTROL OF HUMAN BEHAVIOR,109580,125838
20,HUMAN RACE AT A CROSSROADS,125864,131483
21,HUMAN SUFFERING,131498,136679
22,THE FUTURE,136689,145379
23,STRATEGY,145387,166121
24,TWO KINDS OF TECHNOLOGY,166144,170366
25,THE DANGER OF LEFTISM,170387,185691
26,FINAL NOTE,185701,0
