index,rank,word
45,0,society
377,0,society
405,0,society
537,0,society
575,0,society
1297,0,society
1686,0,society
2065,0,society
2096,0,society
2549,0,society
2638,0,society
2660,0,society
2671,0,society
2719,0,society
2870,0,society
2887,0,society
2931,0,society
3103,0,society
3212,0,society
3257,0,society
3300,0,society
3347,0,society
3352,0,society
3369,0,society
3436,0,society
3447,0,society
3480,0,society
3852,0,society
3873,0,society
4052,0,society
4085,0,society
4091,0,society
4103,0,society
4989,0,society
5060,0,society
5094,0,society
5104,0,society
5443,0,society
5463,0,society
5902,0,society
5908,0,society
6042,0,society
6055,0,society
6061,0,society
6134,0,society
6179,0,society
6432,0,society
6445,0,society
6511,0,society
6522,0,society
6598,0,society
6616,0,society
6733,0,society
6771,0,society
7006,0,society
7103,0,society
7118,0,society
7319,0,society
7335,0,society
7364,0,society
7402,0,society
7550,0,society
7608,0,society
7760,0,society
7971,0,society
8046,0,society
8274,0,society
8458,0,society
9168,0,society
9315,0,society
9320,0,society
9690,0,society
10116,0,society
10171,0,society
10186,0,society
10208,0,society
10743,0,society
10997,0,society
11042,0,society
11308,0,society
11473,0,society
11490,0,society
12358,0,society
12589,0,society
12620,0,society
12632,0,society
12690,0,society
12902,0,society
13280,0,society
13295,0,society
13431,0,society
13658,0,society
13687,0,society
13703,0,society
13726,0,society
13855,0,society
13865,0,society
13920,0,society
13961,0,society
13986,0,society
14006,0,society
14052,0,society
14123,0,society
14178,0,society
14210,0,society
14235,0,society
14277,0,society
14283,0,society
14317,0,society
14378,0,society
14395,0,society
14428,0,society
14433,0,society
14710,0,society
14849,0,society
14882,0,society
14895,0,society
15046,0,society
15075,0,society
15098,0,society
15135,0,society
15241,0,society
15349,0,society
15562,0,society
15610,0,society
15643,0,society
15666,0,society
15695,0,society
15827,0,society
16345,0,society
16593,0,society
16689,0,society
16787,0,society
17239,0,society
17663,0,society
17957,0,society
18032,0,society
18234,0,society
18997,0,society
19443,0,society
20040,0,society
20306,0,society
20369,0,society
20424,0,society
20460,0,society
20555,0,society
20587,0,society
20643,0,society
20678,0,society
20742,0,society
20755,0,society
20846,0,society
21428,0,society
21531,0,society
