index,rank,word
264,0,society
2073,0,society
2228,0,society
3010,0,society
3221,0,society
7046,0,society
9097,0,society
11166,0,society
11293,0,society
13708,0,society
14192,0,society
14298,0,society
14353,0,society
14592,0,society
15351,0,society
15452,0,society
15695,0,society
16593,0,society
17247,0,society
17493,0,society
17711,0,society
17967,0,society
17991,0,society
18079,0,society
18459,0,society
18512,0,society
18697,0,society
20646,0,society
20762,0,society
21758,0,society
21941,0,society
21962,0,society
22030,0,society
26687,0,society
27041,0,society
27212,0,society
27260,0,society
29118,0,society
29233,0,society
31591,0,society
31625,0,society
32346,0,society
32421,0,society
32451,0,society
32894,0,society
33137,0,society
34550,0,society
34625,0,society
34999,0,society
35065,0,society
35537,0,society
35637,0,society
36283,0,society
36501,0,society
37740,0,society
38212,0,society
38292,0,society
39307,0,society
39404,0,society
39548,0,society
39759,0,society
40488,0,society
40803,0,society
41505,0,society
42663,0,society
43046,0,society
44252,0,society
45247,0,society
48836,0,society
49556,0,society
49577,0,society
51500,0,society
53734,0,society
54021,0,society
54118,0,society
54228,0,society
57078,0,society
58440,0,society
58718,0,society
60160,0,society
61066,0,society
61142,0,society
65859,0,society
67028,0,society
67201,0,society
67279,0,society
67589,0,society
68702,0,society
70658,0,society
70743,0,society
71429,0,society
72680,0,society
72842,0,society
72927,0,society
73056,0,society
73689,0,society
73727,0,society
74012,0,society
74243,0,society
74375,0,society
74455,0,society
74683,0,society
75075,0,society
75379,0,society
75539,0,society
75670,0,society
75899,0,society
75929,0,society
76118,0,society
76451,0,society
76534,0,society
76735,0,society
76762,0,society
78332,0,society
79137,0,society
79315,0,society
79381,0,society
80237,0,society
80409,0,society
80519,0,society
80727,0,society
81355,0,society
82009,0,society
83086,0,society
83347,0,society
83557,0,society
83685,0,society
83850,0,society
84573,0,society
87304,0,society
88624,0,society
89138,0,society
89666,0,society
92138,0,society
94380,0,society
95959,0,society
96400,0,society
97475,0,society
101821,0,society
104243,0,society
107549,0,society
109131,0,society
109480,0,society
109786,0,society
109979,0,society
110457,0,society
110636,0,society
110913,0,society
111110,0,society
111443,0,society
111522,0,society
112016,0,society
115144,0,society
115735,0,society
116246,0,society
117663,0,society
118278,0,society
119069,0,society
120546,0,society
120791,0,society
121084,0,society
121655,0,society
122300,0,society
122405,0,society
122593,0,society
123564,0,society
124934,0,society
130532,0,society
131177,0,society
131309,0,society
133777,0,society
133941,0,society
135212,0,society
135357,0,society
136180,0,society
136497,0,society
136561,0,society
136728,0,society
138166,0,society
140344,0,society
141729,0,society
141791,0,society
141964,0,society
142184,0,society
145901,0,society
146193,0,society
146213,0,society
146898,0,society
146949,0,society
147079,0,society
147163,0,society
147248,0,society
147306,0,society
147875,0,society
148613,0,society
148820,0,society
149008,0,society
149071,0,society
149297,0,society
149465,0,society
149559,0,society
150140,0,society
153455,0,society
161329,0,society
161399,0,society
164278,0,society
168905,0,society
169300,0,society
169386,0,society
169931,0,society
170091,0,society
171282,0,society
171523,0,society
172341,0,society
177505,0,society
177803,0,society
177895,0,society
183203,0,society
183227,0,society
868,1,system
1250,1,system
1350,1,system
1435,1,system
1518,1,system
1726,1,system
1988,1,system
2369,1,system
10161,1,system
18319,1,system
19040,1,system
20094,1,system
20106,1,system
20479,1,system
35690,1,system
35841,1,system
35921,1,system
36189,1,system
36411,1,system
36612,1,system
43622,1,system
44327,1,system
44662,1,system
44797,1,system
44962,1,system
45010,1,system
49687,1,system
49837,1,system
50010,1,system
50315,1,system
53834,1,system
59790,1,system
60782,1,system
68421,1,system
70189,1,system
73740,1,system
77031,1,system
77097,1,system
77453,1,system
78735,1,system
78945,1,system
79657,1,system
80036,1,system
81368,1,system
81682,1,system
82230,1,system
82337,1,system
82472,1,system
83222,1,system
84586,1,system
85050,1,system
85108,1,system
85171,1,system
85480,1,system
85615,1,system
85728,1,system
85779,1,system
85859,1,system
85987,1,system
86027,1,system
86101,1,system
86146,1,system
86359,1,system
86485,1,system
86564,1,system
87408,1,system
87538,1,system
88338,1,system
88483,1,system
88814,1,system
89224,1,system
89756,1,system
89886,1,system
92681,1,system
94029,1,system
97858,1,system
97935,1,system
98002,1,system
98224,1,system
98969,1,system
101102,1,system
102618,1,system
102885,1,system
103846,1,system
104112,1,system
104358,1,system
106462,1,system
106531,1,system
106629,1,system
106774,1,system
106893,1,system
107259,1,system
107406,1,system
108254,1,system
108686,1,system
112714,1,system
113882,1,system
113917,1,system
114167,1,system
114292,1,system
114501,1,system
114536,1,system
114952,1,system
115134,1,system
115290,1,system
115475,1,system
116440,1,system
116962,1,system
116974,1,system
117215,1,system
117345,1,system
117818,1,system
117945,1,system
120046,1,system
120631,1,system
121066,1,system
121185,1,system
121263,1,system
121331,1,system
121399,1,system
122466,1,system
123415,1,system
126112,1,system
126386,1,system
126664,1,system
126811,1,system
126963,1,system
127083,1,system
127266,1,system
127526,1,system
127839,1,system
128143,1,system
129151,1,system
129341,1,system
129410,1,system
130199,1,system
130214,1,system
130833,1,system
130931,1,system
131201,1,system
131386,1,system
131519,1,system
131738,1,system
132544,1,system
132640,1,system
132797,1,system
133433,1,system
133490,1,system
133508,1,system
135527,1,system
136828,1,system
136880,1,system
137173,1,system
138519,1,system
139063,1,system
139354,1,system
141011,1,system
141452,1,system
141600,1,system
141932,1,system
143644,1,system
143836,1,system
145344,1,system
145993,1,system
146010,1,system
146551,1,system
148114,1,system
148205,1,system
148954,1,system
149612,1,system
150787,1,system
150953,1,system
152290,1,system
153267,1,system
155275,1,system
155795,1,system
155835,1,system
156290,1,system
157191,1,system
157314,1,system
158287,1,system
158433,1,system
158569,1,system
158620,1,system
158757,1,system
158856,1,system
158937,1,system
159017,1,system
159497,1,system
160145,1,system
160644,1,system
160803,1,system
161659,1,system
161719,1,system
162180,1,system
162811,1,system
163035,1,system
163181,1,system
163257,1,system
163470,1,system
164856,1,system
165075,1,system
165338,1,system
165374,1,system
165486,1,system
167355,1,system
168525,1,system
172267,1,system
172376,1,system
174826,1,system
184697,1,system
184968,1,system
185135,1,system
1392,2,people
6384,2,people
12862,2,people
12986,2,people
13223,2,people
13409,2,people
13590,2,people
14831,2,people
15193,2,people
15783,2,people
16647,2,people
17811,2,people
18813,2,people
19136,2,people
19904,2,people
24493,2,people
25253,2,people
26381,2,people
27805,2,people
28067,2,people
28339,2,people
28440,2,people
28598,2,people
28907,2,people
29241,2,people
29370,2,people
29564,2,people
29763,2,people
29932,2,people
30923,2,people
32314,2,people
32468,2,people
32911,2,people
33952,2,people
34102,2,people
34191,2,people
39429,2,people
41581,2,people
41947,2,people
42396,2,people
42646,2,people
43125,2,people
43653,2,people
43892,2,people
44716,2,people
44758,2,people
45596,2,people
45680,2,people
45747,2,people
50570,2,people
50889,2,people
52181,2,people
52710,2,people
53597,2,people
53663,2,people
54071,2,people
54175,2,people
54745,2,people
54795,2,people
55469,2,people
55555,2,people
56484,2,people
57496,2,people
57710,2,people
57779,2,people
57915,2,people
58426,2,people
58527,2,people
58666,2,people
58771,2,people
59369,2,people
59451,2,people
60143,2,people
60281,2,people
61031,2,people
66656,2,people
69460,2,people
70253,2,people
70949,2,people
71383,2,people
71679,2,people
71721,2,people
71920,2,people
77413,2,people
80316,2,people
81444,2,people
82357,2,people
82835,2,people
83307,2,people
83822,2,people
83947,2,people
83995,2,people
84651,2,people
84772,2,people
85277,2,people
86117,2,people
86206,2,people
86312,2,people
86435,2,people
92359,2,people
92484,2,people
95090,2,people
95986,2,people
97005,2,people
97613,2,people
97770,2,people
100231,2,people
104739,2,people
106139,2,people
107148,2,people
108120,2,people
108424,2,people
108591,2,people
109140,2,people
110158,2,people
110935,2,people
111497,2,people
112983,2,people
113167,2,people
117233,2,people
118356,2,people
120858,2,people
121017,2,people
122279,2,people
122329,2,people
122651,2,people
123261,2,people
124511,2,people
126749,2,people
126907,2,people
127766,2,people
128813,2,people
129448,2,people
130650,2,people
131912,2,people
133651,2,people
138283,2,people
140099,2,people
140812,2,people
141548,2,people
141712,2,people
142075,2,people
142280,2,people
142800,2,people
143070,2,people
145480,2,people
148219,2,people
149644,2,people
149751,2,people
150255,2,people
150648,2,people
150742,2,people
151001,2,people
151042,2,people
151103,2,people
151821,2,people
152057,2,people
152557,2,people
152915,2,people
153200,2,people
153406,2,people
153622,2,people
154588,2,people
155435,2,people
156387,2,people
156880,2,people
157744,2,people
159672,2,people
159843,2,people
160068,2,people
162844,2,people
164800,2,people
165022,2,people
170330,2,people
171425,2,people
174382,2,people
174717,2,people
176657,2,people
176669,2,people
176681,2,people
176694,2,people
178099,2,people
179461,2,people
179873,2,people
179916,2,people
180048,2,people
181792,2,people
184940,2,people
185107,2,people
186935,2,people
187041,2,people
5137,3,power
10485,3,power
11605,3,power
12770,3,power
13546,3,power
15268,3,power
16696,3,power
22264,3,power
22320,3,power
22392,3,power
22898,3,power
23250,3,power
23402,3,power
23425,3,power
23497,3,power
28495,3,power
29498,3,power
30046,3,power
30223,3,power
30531,3,power
30600,3,power
30745,3,power
30799,3,power
30948,3,power
31077,3,power
31159,3,power
31242,3,power
32815,3,power
32985,3,power
33942,3,power
34017,3,power
39072,3,power
39484,3,power
39585,3,power
39689,3,power
39932,3,power
40264,3,power
41387,3,power
41741,3,power
41860,3,power
42216,3,power
42454,3,power
43318,3,power
45213,3,power
45960,3,power
46467,3,power
47505,3,power
49428,3,power
50650,3,power
51361,3,power
51772,3,power
51970,3,power
52360,3,power
52514,3,power
53027,3,power
53084,3,power
53394,3,power
53638,3,power
54314,3,power
54355,3,power
54411,3,power
54481,3,power
54885,3,power
55649,3,power
55987,3,power
56116,3,power
56521,3,power
56560,3,power
56631,3,power
56990,3,power
57303,3,power
57400,3,power
57514,3,power
57759,3,power
57882,3,power
57949,3,power
59106,3,power
60198,3,power
60305,3,power
60552,3,power
61236,3,power
63608,3,power
63934,3,power
64156,3,power
64478,3,power
65371,3,power
65435,3,power
66175,3,power
66618,3,power
66633,3,power
66671,3,power
66804,3,power
