rank,word,count
0,society,212
1,system,197
2,people,192
3,power,150
4,would,142
5,human,130
6,one,118
7,technology,117
8,may,92
9,modern,91
10,social,85
11,many,81
12,freedom,77
13,industrial,67
14,process,66
15,need,62
16,leftists,61
17,make,60
18,problems,60
19,way,59
20,leftist,59
21,work,55
22,man,55
23,behavior,54
24,even,53
25,control,53
26,psychological,50
27,leftism,50
28,use,48
29,example,47
30,nature,47
31,revolution,45
32,technological,44
33,needs,44
34,goals,44
35,new,43
36,large,42
37,individual,42
38,surrogate,39
39,take,37
40,get,37
41,thus,37
42,important,36
43,much,36
44,must,36
45,change,36
46,world,35
47,physical,35
48,without,35
49,effort,33
