number,title,image,year,location
1,Still Life with Cabbage and Clogs,Still_Life_with_Cabbage_and_Clogs.jpg,1881,"Van Gogh Museum, Amsterdam (F1)"
2,"Crouching Boy with Sickle, Black chalk and watercolor",Van_Gogh_-_Kauernder_Junge_mit_Sichel.jpeg,1881,"Kröller-Müller Museum, Otterlo, Netherlands (F851)"
3,"Old Man at the Fireside, Black chalk, reddish brown and grey wash, orange red chalk, opaque watercolor on laid paper",An_Old_Man_Putting_Dry_Rice_on_the_Hearth_1881_Vincent_van_Gogh.jpg, 1881 ,"Kröller-Müller Museum, Otterlo, Netherlands (F868)"
4,"Woman Sewing, Watercolor","Van_Gogh_1881-12,_Etten_-_Scheveningen_Woman_Sewing_F_869_JH_83.jpg",1881-82,"P. and N. de Boer Foundation, Amsterdam (F869)"
5,Woman with White Shawl,Woman_with_White_Shawl_in_a_Wood.jpg,1882,"Teheran, Collection A. Farmanformaian (F949) "
6,"Beach at Scheveningen in Calm Weather, oil on paper on wood",Van_Gogh_-_Strand_von_Schevenigen_bei_Windstille.jpeg,1882,Private collection (F2)
7,Dunes,Van_Gogh_-_Landschaft_mit_Dünen.jpeg,1882,Private collection (F2a)
8,Dunes with Figures,Dunes_with_Figures.jpg,1882, Private Collection (F3)
9,Beach at Scheveningen in Stormy Weather,Van_Gogh_-_Strand_von_Scheveningen_bei_stürmischen_Wetter.jpeg,1882,"Van Gogh Museum, Amsterdam (F4)"
10,Fisherman on the Beach,Fisherman_on_the_Beach.jpg,1882,"Kröller-Müller Museum, Otterlo (F5)"
11,Fisherman's Wife on the Beach,Fisherman's_Wife_on_the_Beach.jpg,1882,"Kröller-Müller Museum, Otterlo (F6)"
12,Women Mending Nets in the Dunes,Women_Mending_Nets_in_the_Dunes.jpg,1882,"Collection: François Odermatt, Montreal (F7)"
13,"Annotated by the artist in ink at lower left: ""At Eternity's gate"" lithograph,",Old_Man_with_his_Head_in_his_Hands_(At_Eternity's_Gate).jpg,1882, Tehran Museum of Contemporary Art (F1662)
14,Girl in White in the Woods,Girl_in_White_in_the_Woods.jpg,1882,"Kröller-Müller Museum, Otterlo, Netherlands (F8)"
15,Girl in the Woods,Girl_in_the_Woods.jpg,1882,Private collection (F8a)
16,Man Stooping with Stick or Spade,Man_Stooping_with_Stick_or_Spade.jpg,1882,"Kuboso Memorial Museum of Arts, Izumi, Japan (F12)"
17,"A Girl in the Street, Two Coaches in the Background","Girl_in_the_Street,_Two_Coaches_in_the_Background,_A.jpg",1882,Private collection (F13)
18,Edge of a Wood,Edge_of_a_Wood.jpg,1882,"Kröller-Müller Museum, Otterlo, Netherlands (F192)"
19,Cluster of Old Houses with the New Church in The Hague,Cluster_of_Old_Houses_with_the_New_Church_in_The_Hague.jpg,1882,Private collection (F204)
20,"The Iron Mill in The Hague, watercolor",Iron_Mill_in_The_Hague.jpg,1882,Private collection (F926) 
21,"Meadows near Rijswijk, watercolor",Meadows_near_Rijswijk.jpg,1882,Private collection (F927) 
22,"Sorrow, drawing",Vincent_van_Gogh_-_Sorrow.jpg,1882, Garman Ryan Collection (F929a) 
23,"Back Garden of Sien's Mother's House, the Hague, drawing","Sien's-Mother's-House,-Closer-View_F942_Vincent_van_Gogh.jpg",1882,"Norton Simon Museum, Pasadena, California (F942) "
24,"Rooftops, View from the Atelier, watercolor with white",Vincent_Willem_van_Gogh_016.jpg,1882,Private collection (F943)
25,"Bleaching Ground at Scheveningen also Bleaching Ground, watercolor",Vincent_van_Gogh_-_Bleaching_Ground_at_Scheveningen_-_Google_Art_Project.jpg,1882,"J. Paul Getty Museum, Los Angeles (F946r) "
26,"Pollard Willow, watercolor","Vincent_van_Gogh_-_Knotwilg,_1882_(Van_Gogh_Museum).jpg",1882,"Van Gogh Museum in Amsterdam, Netherlands.  (F947) "
27,"Portrait of a Man in a Top Hat also Orphan Man with Top Hat, drawing",Vincent_van_Gogh_-_Orphan_Man_with_Top_Hat_(F954).jpg,1882,"Worcester Art Museum, Worcester, Massachusetts (F954) "
28,"In Church also Church Pew with Worshippers, watercolor",Vincent_van_Gogh_-_Church_Pew_with_Worshippers_(F967).jpg,1882,"Kröller-Müller Museum, Otterlo, Netherlands (F967) "
